home_team,away_team,home_score,away_score,start_date
"University of Hawaii, Manoa",Georgia Southern University,3,2,08-16-2024
The University of Tulsa,University of Central Arkansas,5,2,08-16-2024
University of Montana,Colorado College,1,0,08-16-2024
Seton Hall University,Marist College,2,1,08-16-2024
University of Florida,Western Carolina University,2,0,08-16-2024
Southeastern Louisiana University,Grambling State University,0,0,08-16-2024
Boise State University,Portland State University,2,1,08-16-2024
Arizona State University,Northern Arizona University,1,1,08-16-2024
"California State University, Sacramento",Houston Christian University,3,1,08-17-2024
University at Albany,Long Island University,3,1,08-17-2024
University of Connecticut,University of Vermont,2,2,08-17-2024
Abilene Christian University,University of Texas at El Paso,0,0,08-17-2024
University of North Texas,University of Alabama,1,2,08-17-2024
South Carolina State University,Queens University of Charlotte,0,2,08-18-2024
University of Nebraska-Lincoln,Colorado State University,3,2,08-18-2024
Rice University,U.S. Naval Academy,2,1,08-18-2024
George Washington University,Binghamton University,2,3,08-18-2024
Sacred Heart University,La Salle University,1,2,08-18-2024
The University of North Carolina at Charlotte,Texas Christian University,0,3,08-18-2024
Colorado College,University of Iowa,1,4,08-18-2024
"University of Maryland, College Park",Stony Brook University,2,2,08-18-2024
University of Virginia,Northwestern University,2,0,08-18-2024
"Rutgers, The State University of New Jersey, New Brunswick",Wake Forest University,1,1,08-18-2024
University of Northern Iowa,Western Illinois University,5,1,08-18-2024
Marquette University,University of Missouri-Kansas City,1,1,08-18-2024
University of Toledo,University of Cincinnati,2,3,08-18-2024
Kennesaw State University,Eastern Washington University,2,3,08-18-2024
Liberty University,Old Dominion University,2,0,08-18-2024
Boston College,Merrimack College,5,1,08-18-2024
U.S. Military Academy,Manhattan University,3,0,08-18-2024
Bryant University,Siena College,0,1,08-18-2024
East Tennessee State University,Eastern Kentucky University,1,0,08-18-2024
Wofford College,Stetson University,1,0,08-18-2024
Niagara University,Mercyhurst University,2,0,08-18-2024
Syracuse University,University of Maine,1,1,08-18-2024
West Virginia University,Radford University,5,0,08-18-2024
Youngstown State University,Kent State University,2,2,08-18-2024
University of Illinois Urbana-Champaign,DePaul University,2,1,08-18-2024
Texas A&M University-Corpus Christi,Tarleton State University,0,0,08-18-2024
Eastern Illinois University,University of Akron,1,1,08-18-2024
Mississippi State University,Northwestern State University,4,0,08-18-2024
"Southern University, Baton Rouge",University of Louisiana Monroe,0,2,08-18-2024
University of South Dakota,Morningside,5,0,08-18-2024
University of Texas at Austin,"California State University, Bakersfield",4,0,08-18-2024
Tennessee Technological University,Miami University (Ohio),2,2,08-18-2024
University of Nebraska Omaha,Lindenwood University,2,0,08-18-2024
McNeese State University,Jackson State University,2,1,08-18-2024
The Citadel,Winthrop University,2,0,08-18-2024
Purdue University Fort Wayne,Illinois State University,0,0,08-18-2024
Virginia Military Institute,American University,1,0,08-18-2024
Campbell University,George Mason University,3,3,08-18-2024
San Jose State University,Saint Mary's College of California,0,0,08-18-2024
University of Arizona,University of the Pacific,5,0,08-18-2024
"University of Nevada, Reno",Southern Utah University,2,1,08-18-2024
University of Denver,Idaho State University,0,1,08-18-2024
Hampton University,Howard University,0,0,08-18-2024
University of Pittsburgh,Duquesne University,2,1,08-18-2024
University of Oregon,Portland State University,2,0,08-18-2024
University of San Diego,Long Beach State University,0,2,08-18-2024
Santa Clara University,"University of California, Berkeley",2,1,08-18-2024
Villanova University,Temple University,4,0,08-18-2024
"University of California, Los Angeles","University of California, Riverside",3,0,08-18-2024
Missouri State University,The University of Tulsa,1,0,08-18-2024
Lipscomb University,Alabama A&M University,3,0,08-18-2024
Samford University,University of Notre Dame,0,6,08-18-2024
Florida Atlantic University,University of Miami (Florida),1,1,08-18-2024
"University of Maryland, Baltimore County",Towson University,0,1,08-18-2024
Florida State University,University of North Florida,10,0,08-18-2024
"University of Tennessee, Knoxville",University of Tennessee at Chattanooga,2,0,08-18-2024
Butler University,Purdue University,3,0,08-18-2024
Iowa State University,Creighton University,1,2,08-18-2024
Western Carolina University,University of North Carolina Asheville,6,1,08-18-2024
North Carolina State University,East Carolina University,0,1,08-18-2024
Central Connecticut State University,Fairfield University,0,1,08-18-2024
University of Texas at San Antonio,University of the Incarnate Word,1,0,08-18-2024
University of North Carolina Wilmington,The University of North Carolina at Greensboro,1,1,08-18-2024
"University of South Carolina, Columbia",Furman University,5,1,08-18-2024
University of Detroit Mercy,Utah Valley University,2,5,08-18-2024
Longwood University,Loyola University Maryland,0,1,08-18-2024
University of Louisville,University of Alabama at Birmingham,3,1,08-18-2024
Texas Tech University,"California State University, Northridge",4,0,08-18-2024
"University of Missouri, Columbia",University of Memphis,0,2,08-18-2024
Oklahoma State University,Oral Roberts University,1,0,08-18-2024
University of Louisiana at Lafayette,Louisiana Tech University,0,0,08-18-2024
Baylor University,St. Bonaventure University,5,2,08-18-2024
"University of Hawaii, Manoa",Utah State University,0,3,08-18-2024
California Baptist University,University of Southern California,0,1,08-18-2024
Oakland University,University of North Dakota,1,1,08-19-2024
Mercer University,Berry College,9,0,08-19-2024
University of Northern Colorado,South Dakota State University,0,2,08-19-2024
Ball State University,"Indiana University, Bloomington",1,2,08-20-2024
Northern Kentucky University,Ohio University,0,4,08-20-2024
Tarleton State University,The University of Texas Rio Grande Valley,1,1,08-20-2024
University of North Dakota,"University of Minnesota, Crookston",3,0,08-21-2024
University of Vermont,Saint Anselm College,3,0,08-21-2024
Winthrop University,Southern Wesleyan University,2,0,08-21-2024
University of North Carolina Wilmington,Coastal Carolina University,2,0,08-21-2024
University of South Florida,"Southern University, Baton Rouge",5,0,08-21-2024
Delaware State University,Rider University,0,5,08-21-2024
University of Dayton,Cleveland State University,4,0,08-21-2024
"Texas A&M University, College Station",University of Denver,2,3,08-21-2024
"University of Hawaii, Manoa",Baylor University,0,1,08-22-2024
Long Island University,Manhattan University,0,1,08-22-2024
Boston College,Gardner-Webb University,2,1,08-22-2024
Le Moyne College,Niagara University,0,2,08-22-2024
"California State University, Northridge",University of Idaho,1,2,08-22-2024
Eastern Illinois University,Valparaiso University,1,0,08-22-2024
Saint Peter's University,University of South Carolina Upstate,2,0,08-22-2024
U.S. Military Academy,"University of Massachusetts, Amherst",3,2,08-22-2024
Canisius University,Binghamton University,5,0,08-22-2024
Western Michigan University,University of Iowa,1,1,08-22-2024
"California State University, Sacramento","University of California, Santa Barbara",1,1,08-22-2024
Portland State University,Kansas State University,0,2,08-22-2024
Murray State University,Xavier University,1,2,08-22-2024
Eastern Kentucky University,Morehead State University,1,2,08-22-2024
The Citadel,South Carolina State University,4,0,08-22-2024
Georgetown University,Quinnipiac University,5,0,08-22-2024
Providence College,College of the Holy Cross,2,1,08-22-2024
New Jersey Institute of Technology,Marist College,0,0,08-22-2024
U.S. Naval Academy,Sacred Heart University,5,3,08-22-2024
University of Connecticut,University of Wisconsin-Madison,1,2,08-22-2024
Northwestern University,Marquette University,2,0,08-22-2024
Liberty University,Virginia Commonwealth University,2,1,08-22-2024
Northern Illinois University,University of St. Thomas (Minnesota),4,1,08-22-2024
"University of California, Berkeley",Gonzaga University,1,1,08-22-2024
Indiana State University,Miami University (Ohio),2,0,08-22-2024
University of Pittsburgh,"University at Buffalo, the State University of New York",1,2,08-22-2024
University of Richmond,Longwood University,2,0,08-22-2024
"University of North Carolina, Chapel Hill",University of Georgia,4,3,08-22-2024
Saint Joseph's University,Lafayette College,1,0,08-22-2024
Pennsylvania State University,University of Virginia,1,2,08-22-2024
University of Central Florida,Utah Valley University,1,1,08-22-2024
University of Kentucky,University of Detroit Mercy,2,0,08-22-2024
Southern Utah University,University of Nebraska Omaha,1,2,08-22-2024
Drake University,Iowa State University,1,1,08-22-2024
Lindenwood University,Indiana University Indianapolis,2,0,08-22-2024
University of Illinois Chicago,Eastern Michigan University,2,3,08-22-2024
Towson University,St. John's University (New York),1,1,08-22-2024
Appalachian State University,Wofford College,5,0,08-22-2024
Furman University,Presbyterian College,1,2,08-22-2024
College of Charleston (South Carolina),High Point University,3,0,08-22-2024
East Tennessee State University,"University of Tennessee, Knoxville",0,1,08-22-2024
Youngstown State University,Saint Francis University ,2,0,08-22-2024
The Ohio State University,University of Wisconsin-Milwaukee,4,0,08-22-2024
Southern Illinois University Edwardsville,Chicago State University,6,1,08-22-2024
Bowling Green State University,University of Findlay,3,0,08-22-2024
Purdue University Fort Wayne,Tiffin University,3,1,08-22-2024
Radford University,Emory & Henry University,5,0,08-22-2024
"University of Maryland, College Park",American University,0,2,08-22-2024
Michigan State University,"University of Arkansas, Fayetteville",2,2,08-22-2024
Purdue University,Loyola University Chicago,1,1,08-22-2024
Samford University,University of Alabama at Birmingham,3,3,08-22-2024
"University of California, San Diego",Pepperdine University,0,1,08-22-2024
Southern Methodist University,University of Texas at Austin,3,6,08-22-2024
Loyola University Maryland,George Washington University,1,0,08-22-2024
Southeast Missouri State University,Southern Illinois University at Carbondale,0,1,08-22-2024
Austin Peay State University,University of Tennessee at Chattanooga,1,0,08-22-2024
North Dakota State University,Alabama State University,3,0,08-22-2024
East Carolina University,The University of North Carolina at Greensboro,2,1,08-22-2024
University of Akron,Oakland University,1,0,08-22-2024
The University of North Carolina at Charlotte,Mississippi State University,0,2,08-22-2024
Wagner College,Iona University,0,0,08-22-2024
University of North Florida,University of Florida,0,0,08-22-2024
Stony Brook University,"Fairleigh Dickinson University, Metropolitan Campus",3,2,08-22-2024
Howard University,George Mason University,1,1,08-22-2024
Georgia Southern University,Kennesaw State University,2,0,08-22-2024
William & Mary,Old Dominion University,0,2,08-22-2024
Bryant University,Stonehill College,5,0,08-22-2024
Mercer University,Troy University,3,0,08-22-2024
Stetson University,Alabama A&M University,3,0,08-22-2024
Syracuse University,Siena College,2,0,08-22-2024
James Madison University,La Salle University,3,3,08-22-2024
