team,wins,losses,draws,wp,owp,oowp,rpi
Rider University,8,10,3,0.45,0.4,0.44,0.42
Southern Illinois University at Carbondale,3,11,5,0.29,0.47,0.45,0.42
St. Bonaventure University,3,11,7,0.31,0.44,0.48,0.42
Tarleton State University,5,13,6,0.33,0.45,0.45,0.42
"University of California, Riverside",3,13,7,0.28,0.45,0.49,0.42
"University of Maryland, Baltimore County",4,13,4,0.29,0.47,0.46,0.42
Wagner College,8,9,6,0.48,0.39,0.44,0.42
Western Illinois University,3,10,5,0.31,0.45,0.47,0.42
Winthrop University,5,9,2,0.38,0.43,0.43,0.42
Gardner-Webb University,5,14,2,0.29,0.46,0.45,0.41
Jacksonville University,3,12,4,0.26,0.47,0.44,0.41
Marist College,2,11,6,0.26,0.46,0.45,0.41
Southern Utah University,3,14,5,0.25,0.47,0.47,0.41
University of Hartford,0,1,0,0.0,0.6,0.45,0.41
Weber State University,1,11,6,0.22,0.47,0.49,0.41
Western Oregon University,0,0,1,0.5,0.31,0.53,0.41
Niagara University,7,10,3,0.42,0.37,0.45,0.4
Saint Anselm College,0,1,0,0.0,0.57,0.47,0.4
Stetson University,5,13,3,0.31,0.4,0.47,0.4
The University of Texas Rio Grande Valley,3,12,5,0.28,0.44,0.45,0.4
University of Northern Colorado,1,17,4,0.14,0.48,0.49,0.4
Lindenwood University,4,15,1,0.23,0.44,0.46,0.39
Long Island University,7,11,2,0.4,0.35,0.44,0.39
Saint Peter's University,6,12,0,0.33,0.39,0.43,0.39
Stonehill College,2,14,3,0.18,0.46,0.44,0.39
University of Wisconsin-Green Bay,0,11,5,0.16,0.46,0.47,0.39
Virginia State University,0,1,0,0.0,0.61,0.33,0.39
Iona University,1,16,4,0.14,0.45,0.46,0.38
Saint Francis University (Pennsylvania),3,12,2,0.24,0.41,0.44,0.38
Texas Southern University,8,14,1,0.37,0.37,0.43,0.38
Union University,0,2,0,0.0,0.53,0.45,0.38
"University of Arkansas, Pine Bluff",9,12,1,0.43,0.34,0.42,0.38
Virginia Military Institute,4,17,0,0.19,0.43,0.45,0.38
Alcorn State University,4,10,2,0.31,0.39,0.4,0.37
Hampton University,0,20,1,0.02,0.5,0.45,0.37
Le Moyne College,2,13,4,0.21,0.42,0.43,0.37
Marymount University (Virginia),0,1,0,0.0,0.52,0.44,0.37
Minnesota State University Moorhead,0,1,0,0.0,0.5,0.47,0.37
Nicholls State University,1,18,2,0.1,0.46,0.46,0.37
"University of Minnesota, Crookston",0,1,0,0.0,0.5,0.47,0.37
Concordia University Texas,0,0,1,0.5,0.26,0.44,0.36
Alabama A&M University,3,20,0,0.13,0.43,0.42,0.35
North Greenville University,0,1,0,0.0,0.45,0.5,0.35
Saint Francis University ,0,1,0,0.0,0.47,0.45,0.35
Alabama State University,2,14,3,0.18,0.39,0.4,0.34
Chicago State University,4,14,0,0.22,0.35,0.43,0.34
Columbia (MO),0,1,0,0.0,0.47,0.43,0.34
Emporia State University,0,1,0,0.0,0.43,0.49,0.34
Morningside,0,2,0,0.0,0.44,0.48,0.34
Prairie View A&M University,4,14,1,0.24,0.35,0.41,0.34
South Carolina State University,0,16,1,0.03,0.47,0.41,0.34
St. Francis (IN),0,1,0,0.0,0.47,0.41,0.34
Tiffin University,0,1,0,0.0,0.47,0.41,0.34
University of West Georgia,0,2,0,0.0,0.5,0.38,0.34
Mississippi Valley State University,2,11,1,0.18,0.37,0.39,0.33
University of Texas Permian Basin,0,1,0,0.0,0.42,0.46,0.33
Mercyhurst University,0,4,0,0.0,0.4,0.48,0.32
Delaware State University,0,17,1,0.03,0.39,0.42,0.31
Emory & Henry University,0,2,0,0.0,0.4,0.45,0.31
Faulkner,0,0,1,0.5,0.17,0.39,0.31
Concordia (MI),0,1,0,0.0,0.36,0.49,0.3
Francis Marion University,0,1,0,0.0,0.37,0.46,0.3
Indiana University Indianapolis,0,2,1,0.17,0.28,0.45,0.3
Northwood University,0,1,0,0.0,0.38,0.45,0.3
Pacific University (Oregon),0,1,0,0.0,0.4,0.4,0.3
Allen University,1,2,0,0.33,0.21,0.39,0.29
Asbury University,0,1,0,0.0,0.34,0.46,0.29
Hawaii Pacific University,0,1,0,0.0,0.35,0.45,0.29
Lyon College,0,1,0,0.0,0.4,0.34,0.29
University of Indianapolis,0,1,0,0.0,0.34,0.46,0.29
Columbia (SC),0,1,0,0.0,0.32,0.46,0.28
University of Illinois Springfield,0,1,0,0.0,0.33,0.44,0.28
Austin College,0,1,0,0.0,0.3,0.45,0.26
Sul Ross State University,0,1,0,0.0,0.34,0.37,0.26
Tougaloo,0,2,0,0.0,0.34,0.36,0.26
Southern Wesleyan University,0,2,0,0.0,0.29,0.43,0.25
Converse University,0,1,0,0.0,0.25,0.46,0.24
Kutztown University of Pennsylvania,0,1,0,0.0,0.25,0.47,0.24
University of South Carolina Aiken,0,0,1,0.5,0.0,0.47,0.24
North American,0,2,0,0.0,0.3,0.34,0.23
Warner,0,1,0,0.0,0.22,0.47,0.23
Providence (MT),0,1,0,0.0,0.18,0.5,0.21
Talladega,0,1,0,0.0,0.14,0.39,0.17
Belhaven University,0,1,0,0.0,0.12,0.37,0.15
