home_team,away_team,start_date,start_time
Princeton University,University of Miami (Florida),08-23-2024,07:00PM ET
Clemson University,West Virginia University,08-23-2024,07:00PM ET
University of Rhode Island,Brown University,08-23-2024,07:00PM ET
Sam Houston State University,Houston Christian University,08-23-2024,08:30PM ET
Boise State University,Idaho State University,08-23-2024,09:00PM ET
