team,wins,losses,draws,wp,owp,oowp,rpi
University of Louisiana Monroe,3,0,0,1.0,0.25,0.89,0.6
Grambling State University,0,1,1,0.25,1.0,0.12,0.59
Liberty University,3,0,0,1.0,0.33,0.69,0.59
Queens University of Charlotte,2,0,0,1.0,0.25,0.88,0.59
University of Notre Dame,1,1,0,0.5,0.62,0.62,0.59
"University of Tennessee, Knoxville",2,1,0,0.67,0.58,0.53,0.59
Utah Tech University,1,0,1,0.75,0.5,0.62,0.59
Idaho State University,1,0,1,0.75,0.5,0.58,0.58
Long Beach State University,1,2,0,0.33,0.75,0.5,0.58
Mississippi State University,3,0,0,1.0,0.33,0.64,0.58
U.S. Military Academy,2,0,0,1.0,0.25,0.78,0.57
University of South Florida,1,1,0,0.5,0.5,0.8,0.57
University of the Incarnate Word,1,1,1,0.5,0.72,0.33,0.57
American University,1,1,0,0.5,0.5,0.75,0.56
Baylor University,2,1,0,0.67,0.5,0.56,0.56
Bellarmine University,0,1,0,0.0,0.75,0.75,0.56
DePaul University,0,1,1,0.25,0.88,0.25,0.56
Florida Gulf Coast University,0,1,0,0.0,1.0,0.25,0.56
Florida International University,2,0,0,1.0,0.25,0.75,0.56
Missouri State University,1,1,0,0.5,0.5,0.75,0.56
San Diego State University,1,1,0,0.5,0.5,0.75,0.56
San Jose State University,0,2,1,0.17,0.83,0.42,0.56
South Carolina State University,0,3,0,0.0,1.0,0.25,0.56
"University of Arkansas, Pine Bluff",0,1,0,0.0,1.0,0.25,0.56
University of Cincinnati,2,0,0,1.0,0.25,0.75,0.56
University of Delaware,0,2,0,0.0,1.0,0.25,0.56
University of South Alabama,1,1,0,0.5,0.5,0.75,0.56
Hampton University,0,1,1,0.25,0.75,0.46,0.55
Howard University,1,0,2,0.67,0.42,0.71,0.55
Southern Illinois University Edwardsville,1,0,1,0.75,0.5,0.46,0.55
Texas A&M University-Corpus Christi,0,0,2,0.5,0.71,0.29,0.55
High Point University,0,2,0,0.0,1.0,0.17,0.54
Radford University,2,1,0,0.67,0.5,0.5,0.54
The University of North Carolina at Charlotte,0,3,0,0.0,0.92,0.33,0.54
"University of Massachusetts, Amherst",0,2,0,0.0,0.88,0.38,0.54
Wofford College,1,2,0,0.33,0.83,0.17,0.54
Campbell University,1,0,1,0.75,0.25,0.85,0.53
Furman University,0,2,0,0.0,1.0,0.12,0.53
Murray State University,0,2,0,0.0,1.0,0.12,0.53
North Carolina State University,0,2,1,0.17,0.83,0.29,0.53
Oakland University,0,1,1,0.25,0.75,0.38,0.53
Texas A&M University-Commerce,1,1,0,0.5,0.5,0.62,0.53
"University of California, Riverside",0,3,0,0.0,1.0,0.11,0.53
University of Louisiana at Lafayette,2,0,1,0.83,0.38,0.54,0.53
University of North Carolina Wilmington,2,0,1,0.83,0.17,0.93,0.53
University of Texas at San Antonio,2,1,0,0.67,0.42,0.6,0.53
University of Wisconsin-Madison,1,1,0,0.5,0.5,0.62,0.53
Appalachian State University,1,0,1,0.75,0.25,0.83,0.52
Coastal Carolina University,0,1,1,0.25,0.88,0.09,0.52
Lindenwood University,1,1,0,0.5,0.62,0.34,0.52
Northern Arizona University,0,1,1,0.25,0.75,0.34,0.52
